2,Maher  (a.k.a. Mahir) AL‐ASSAD,male,Syria,Member of the Syria Armed Forces of the rank of Colonel and the equivalent or higher in post after May 2011; Major General of the 42nd Brigade and former Brigadier Commander of the Army’s 4th Armoured Division. Member of the Assad family; brother of President Bashar al‐Assad.,1,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
4,Atif NAJIB,male,Syria,Former Head of the Political Security Directorate in Dara’a. Involved in violence against demonstrators. Member of the Assad family; cousin of President Bashar al-Assad.,1,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
5,Hafiz  MAKHLOUF,male,Syria,"Former Colonel and Head of Unit in General Intelligence Directorate, Damascus Branch in post after May 2011. Member of the Makhlouf family; cousin of President Bashar al-Assad.",1,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
8,Rami  MAKHLOUF,male,Syria,"Leading businessman operating in Syria with interests in the financial services, transport and property sectors. He has financial interests in and/or holds senior and executive positions in the investment funds Al Mashreq, Bena Properties and Cham Holding.; He furnishes financing and support to the Syrian regime, through his business interests.; He is an influential member of the Makhlouf family and closely connected to the Assad family; cousin of President Bashar Al-Assad.",1,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
19,Iyad  (a.k.a. Eyad) MAKHLOUF,male,Syria,"Member of the Makhlouf family; son of Mohammed Makhlouf, brother of Hafez Makhlouf and Rami Makhlouf and brother of Ihab Makhlouf; cousin of President Bashar al‐Assad.; Member of the Syrian security and intelligence services in post after May 2011.; As an officer in the General Intelligence Directorate, involved in violence against the civilian population in Syria.",1,23-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
21,Ihab MAKHLOUF,male,Syria,"Leading businessman operating in Syria. He has business interests in several Syrian companies and entities, including Ramak Construction Co and Syrian International Private University for Science and Technology (SIUST).; He is an influential member of the Makhlouf family and closely connected to the Assad family; cousin of President Bashar al-Assad. In 2020, Ehab Makhlouf took over Rami Makhlouf’s business activities and the Syrian government granted him the contracts to operate and manage the duty-free markets across the country.",1,23-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
22,"Riyad  CHALICHE  (a.k.a. Shalish, Shaleesh)",male,Syria,Former Director of Military Housing Establishment; provides funding to the Syrian regime; first cousin of President Bashar al‐Assad.,1,23-06-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
50,Abdullah  (a.k.a. Abdallah) BERRI,male,Syria,Head of the Berri family militia. In charge of pro‐government militia involved in the crackdown on the civilian population in Aleppo.,1,14-11-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
60,Bushra  AL‐ASSAD,female,Syria,"Member of the Assad family; sister of President Bashar al‐Assad. Given the close personal relationship and intrinsic financial relationship to President Bashar al‐Assad, she benefits from and is associated with the Syrian regime.",1,23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
61,Asma  AL‐ASSAD,female,Syria,"Member of the Assad family and closely connected to key regime figures; wife of President Bashar al‐Assad. Given the close personal relationship and intrinsic financial relationship to President Bashar al‐Assad, she benefits from and is associated with the Syrian regime.",1,23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,EU
